SampleID	Latitude	Longitude	Total reads	Pair-end reads length	Fold genome coverage	Covered reference genome (%)	SNPs	Indels	Flowering time (day)	Region	Pop Category
1-8	30.68	118.97	31010738	100	23.28	93.8	721217	145518	-	Ningguo, Anhui	popY
1-32	30.68	118.97	34766498	100	26.21	93.8	689406	142906	- 	Ningguo, Anhui	popY
2-5	30.75	117.62	26850412	100	20.6	94.2	684540	125251	32.87	Qianshan, Anhui	popY
3-2	30.62	117.76	33552098	100	25.4	94.2	690061	142224	50.33	Qingyang, Anhui	popY
3-4	30.62	117.76	26941814	100	20.3	94.2	686203	126957	49.78	Qingyang, Anhui	popY
4-15	29.51	118.23	55845736	150	59.7	94.2	682539	162391	- 	Shexian, Anhui	popY
5-15	30.28	117.18	50008520	150	53.06	93.1	737446	175968	31.6	Taihu, Anhui	popY
6-9	31.23	118.23	47296294	150	50.32	94.1	688445	163660	44	Wuhu, Anhui	popY
6-28	31.39	118.38	34278524	100	26.04	94.5	681967	140995	31.6	Wuhu, Anhui	popY
7-2	29.8	118.18	28696278	100	21.88	93.6	674862	127682	45.07	Xiuning, Anhui	popY
8-6	29.96	117.96	25207792	100	19.17	93.8	679885	131870	33.07	Yixian, Anhui	popY
8-17	29.96	117.96	31406492	100	23.44	94.2	684366	139597	35.21	Yixian, Anhui	popY
9-5	30.71	116.26	29701082	100	22.6	94.3	684260	133410	35.86	Yuexi, Anhui	popY
10-1	31.55	118.49	25320936	100	18.89	93.8	676206	130117	50.2	Dangtu, Anhui	popY
10-3	31.55	118.49	35112866	100	25.98	94.1	676159	136162	38	Dangtu, Anhui	popY
10-5	31.55	118.49	24933862	100	18.92	93.8	676099	128739	47	Dangtu, Anhui	popY
11-4	26.75	114.3	31689202	100	23.95	94.5	709721	148073	40.8	Jinggangshan, Jiangxi	popY
12-8	29.59	115.91	29833916	100	22.53	94.5	685209	138566	35.4	Jiujiang, Jiangxi	popY
13-5	26.59	116.15	32677546	150	34.41	93.5	670191	155026	45.13	Nanfeng, Jiangxi	popY
13-13	26.99	116.24	26607778	100	20.35	94.4	677355	131849	34.87	Nanfeng, Jiangxi	popY
14-10	28.74	115.74	51092818	100	39.29	99.6	617541	141288	- 	Xinjian, Jiangxi	NA
14-62	28.74	115.74	26008138	100	19.53	94.3	677064	132463	20.8	Xinjian, Jiangxi	popY
15-11	29.8	118.85	27666856	100	20.3	94.2	686078	132189	31.53	Chun'an, Zhejiang	popY
17-2	29.32	119.3	58138284	150	62.78	94	681449	164999	41.47	Jiande, Zhejiang	popY
17-5	29.54	119.49	30134098	100	22.9	93.8	682206	140143	49.4	Jiande, Zhejiang	popY
18-4	29.11	118.38	27121102	100	20.58	94.3	692823	136046	43.2	Kaihua, Zhejiang	popY
18-7	29.11	118.38	25700782	100	19.4	94.1	690915	137947	64.47	Kaihua, Zhejiang	popY
19-33	30.05	119.91	26225282	100	19.28	93.7	680960	130797	51.33	Lin'an, Zhejiang	popY
20-2	29.69	119.67	26334692	100	19.68	94.2	681178	127815	34.27	Tonglu, Zhejiang	popY
20-36	29.69	119.67	25333732	100	19.11	94.2	683839	133259	38.4	Tonglu, Zhejiang	popY
23-19	32.03	118.5	41478610	150	43.38	93.6	672318	157352	- 	Nanjing, Jiangsu	popY
23-34	32.05	118.83	30602786	100	23.21	94.4	688301	140917	41.73	Nanjing, Jiangsu	popY
24-10	30.52	114.47	25478516	100	18.97	93.8	671336	130671	-	Wuchang, Hubei	popY
25-16	29.79	106.48	27913624	100	21.22	94.3	680647	135020	39.21	Beibei, Chongqing	popY
26-5	29.82	106.06	28098634	100	21.47	94.4	682912	138977	20.53	Tongliang, Chongqing	popY
27-8	32.72	105.12	29035140	100	21.87	94.1	700881	142580	42.93	Wenxian, Gansu	popY
27-9	32.72	105.12	26037526	100	19.62	93.8	692017	131898	30.07	Wenxian, Gansu	popY
28-6	33.15	106.75	32002218	100	24.05	94.3	693134	144824	45.6	Mianxian, Shaanxi	popY
29-8	32.93	107.21	27963908	100	19.36	94.1	683811	132163	24.87	Chenggu, Shaanxi	popY
30-1	31.17	114.62	54231526	150	56.94	93.5	686704	165089	- 	Hong'an, Hubei	popY
30-6	31.28	115.02	32132346	100	24.02	94.5	694619	143188	41	Hong'an, Hubei	popY
31-26	30.78	112.11	28021724	100	21.05	94.1	666702	123813	27.87	Jingmen, Hubei	popY
32-28	30.46	114.09	37568052	100	28.16	94.4	683492	141183	21.53	Hanyang, Hubei	popY
33-4	29.41	110.44	32431812	100	24.39	94.1	697006	137468	51.4	Zhangjiajie, Hunan	popY
33-46	29.41	110.44	26923024	100	19.05	90.7	424933	36475	37.47	Zhangjiajie, Hunan	popY
34-16	28.52	110.72	25436146	100	19.3	94.4	686440	136752	42.2	Yuanling, Hunan	popY
35-1	27.94	108.61	27306846	100	20.61	94.2	695958	136869	30.47	Yinjiang, Guizhou	popY
35-10	27.94	108.61	27034340	100	20.14	94.1	681362	131831	40.07	Yinjiang, Guizhou	popY
36-17	28.02	98.63	27661104	100	20.78	95.3	823398	165759	- 	Gongshan, Yunnan	NA
36-31	28.02	98.63	26565350	100	18.54	88.4	489275	39574	- 	Gongshan, Yunnan	NA
37-10	32.05	113.98	26989718	100	20.55	94.1	699746	135576	45.87	Xinyang. Henan	popY
38-2	31.1	110.95	32243782	100	23.06	91.5	457276	48254	76	Yichang, Hubei	popY
38-4	31.1	110.95	25620534	100	19.43	94	673730	130573	75.29	Yichang, Hubei	popY
39-16	46.75	90.27	31843942	100	24.05	94.5	651004	132873	37.8	Qinghe, Xinjiang	popN
40-2	47.22	89.84	25640644	100	19.36	94.6	630933	122817	52.73	Fuyun, Xinjiang	popN
41-10	47.59	88.77	29444466	100	22.36	94.4	650907	131095	42.13	Altay, Xinjiang	popN
41-11	47.59	88.77	28041338	100	21.54	94.3	636805	128242	62.53	Altay, Xinjiang	popN
42-3	46.83	84.18	27590676	100	20.95	94.3	627506	124672	- 	Emin, Xinjiang	NA
42-8	46.83	84.18	27826274	100	21.32	94.1	620072	116815	- 	Emin, Xinjiang	NA
43-7	46.74	90.34	32017508	100	24.18	94.6	649534	130557	57.8	Qinghe, Xinjiang	popN
43-12	46.74	90.34	30605100	100	23.41	94.4	640725	128720	58.67	Qinghe, Xinjiang	popN
45-20	46.75	90.34	33073526	100	25.47	94.4	640722	126357	62.64	Qinghe, Xinjiang	popN
45-23	46.75	90.34	34521930	100	25.97	94.2	643492	133274	19.29	Qinghe, Xinjiang	popN
46-28	46.74	90.34	35300988	100	26.93	94.3	647923	133433	44.4	Qinghe, Xinjiang	popN
46-31	46.74	90.34	37605158	100	28.71	94.5	648825	131815	32.6	Qinghe, Xinjiang	popN
48-1	47.21	89.81	28407898	100	21.68	94.2	631171	126864	23.67	Fuyun, Xinjiang	popN
50-3	47.36	89.65	26936112	100	20.65	94.3	643058	125349	39.8	Fuyun, Xinjiang	popN
50-5	47.36	89.65	28816800	100	21.99	94.4	646846	129289	42	Fuyun, Xinjiang	popN
51-1	47.77	88.38	30972686	100	23.12	94.2	632529	127578	32.6	Altay, Xinjiang	popN
51-4	47.77	88.38	27827760	100	21.11	94.1	634488	127679	54.27	Altay, Xinjiang	popN
51-8	47.77	88.38	27952632	100	21.34	94.1	636867	125159	69	Altay, Xinjiang	popN
52-10	47.77	88.38	66047870	150	71.74	94.1	648526	144788	-	Altay, Xinjiang	popN
52-13	47.77	88.38	32201670	100	24.52	93.8	635050	128108	63.4	Altay, Xinjiang	popN
52-22	47.77	88.38	27225564	100	20.45	94.2	637382	123079	48.73	Altay, Xinjiang	popN
53-18	47.77	88.38	30101008	100	22.68	94.1	635005	127622	74.43	Altay, Xinjiang	popN
53-19	47.77	88.38	30455400	100	22.89	94	619837	116868	51.47	Altay, Xinjiang	popN
54-5	47.73	88.22	40763458	100	30.83	94.4	643034	139878	68.8	Altay, Xinjiang	popN
54-6	47.73	88.22	27160280	100	20.74	93.9	632306	123623	63	Altay, Xinjiang	popN
55-12	47.73	88.22	26513280	100	20.25	94	641364	127950	73	Altay, Xinjiang	popN
55-13	47.73	88.22	28610990	100	21.62	94.3	639539	126113	46.67	Altay, Xinjiang	popN
57-1	28.23	116.59	35372638	100	27.07	94.6	688492	142660	39.53	Dongxiang, Jiangxi	popY
58-7	28.28	116.61	35799274	100	27.42	94.4	683114	141728	32.07	Dongxiang, Jiangxi	popY
59-12	28.75	115.82	28235500	100	21.38	94.4	694132	128108	41.18	Xinjian, Jiangxi	popY
60-1	28.78	115.84	26705762	100	20.37	94.3	686991	135602	43.47	Nanchang, Jiangxi	popY
61-1	29.86	116.52	51488972	100	39.38	94.8	691176	156968	24.46	Pengze, Jiangxi	popY
62-1	29.92	116.57	67935642	150	73.35	94.2	682390	165575	23.57	Pengze, Jiangxi	popY
63-1	29.88	116.52	28821502	100	21.95	94	667092	129369	46.36	Pengze, Jiangxi	popY
64-5	29.87	116.53	25968536	100	19.78	94.2	672030	121753	27.27	Pengze, Jiangxi	popY
65-1	29.57	117.58	29066184	100	21.78	94.5	679572	134541	35.6	Jingdezhen, Jiangxi	popY
66-3	29.34	117.34	34299060	100	25.7	94.1	670323	136505	43.87	Jingdezhen, Jiangxi	popY
67-1	29.33	117.32	33616814	100	25.11	94.3	676234	141004	41.53	Jingdezhen, Jiangxi	popY
68-1	29.32	117.31	35129900	100	26.77	94.5	686731	141781	43.4	Jingdezhen, Jiangxi	popY
69-7	28.97	114.85	34477356	100	26.36	94.4	689479	143598	49.2	Wuning, Jiangxi	popY
70-1	28.99	114.86	28126940	100	21.55	94.3	690444	139772	35.4	Wuning, Jiangxi	popY
71-5	29	114.87	29863592	100	22.34	94.5	691646	140948	24.93	Wuning, Jiangxi	popY
72-2	29.24	115.1	25004356	100	19.05	94.5	693187	125106	43.67	Wuning, Jiangxi	popY
73-5	29.29	115.98	31586866	100	24.21	94.5	677890	131349	-	Xingzi, Jiangxi	popY
74-14	29.61	115.93	25795752	100	19.8	94.3	677793	125940	31.67	Jiujiang, Jiangxi	popY
75-6	29.6	115.93	33512046	100	25.81	94.3	680851	137270	35.27	Jiujiang, Jiangxi	popY
76-3	28.23	112.55	69695036	150	75.52	94.2	692461	170887	- 	Ningxiang, Hunan	popY
76-4	28.23	112.55	57253528	150	60.9	93.8	679811	166150	- 	Ningxiang, Hunan	popY
76-5	28.23	112.55	105274260	150	97.24	94.1	669656	167156	25.4	Ningxiang, Hunan	popY
77-2	28.23	112.55	57371394	150	61	94.1	693014	167696	38.8	Ningxiang, Hunan	popY
77-3	28.23	112.55	62196176	150	67.78	93.9	694103	165984	- 	Ningxiang, Hunan	NA
78-4	28.5	112.14	61136430	150	66.29	93.8	681588	167347	33.47	Taojiang, Hunan	popY
78-5	28.5	112.14	71133860	150	74.81	93.8	680272	167352	37.93	Taojiang, Hunan	popY
79-2	28.03	110.21	41832564	150	44.96	94	677836	159015	29.07	Chenxi, Hunan	popY
79-4	28.03	110.21	68062920	150	72.95	94.2	681760	166196	30.8	Chenxi, Hunan	popY
82-1	31.82	115.39	61312506	150	65.48	93.7	699211	163103	-	Shangcheng, Henan	popY
82-3	31.82	115.39	59328578	150	64.48	93.9	716551	169514	- 	Shangcheng, Henan	popY
83-2	32.17	115.66	59006362	150	63.86	93.9	683904	159835	- 	Gushi, Henan	popY
83-5	32.17	115.66	62170078	150	66.68	93.9	695813	167848	29.33	Gushi, Henan	popY
84-3	32.14	115.06	65983504	150	69.33	94.2	686964	167510	41.13	Huangchuan, Henan	popY
84-4	32.14	115.06	65768404	150	70.23	94.2	690407	168014	47.13	Huangchuan, Henan	popY
85-3	32.14	115.06	46957104	150	49.75	93.9	677228	156027	49.67	Huangchuan, Henan	popY
85-5	32.14	115.06	68864544	150	72.61	93.9	678569	166950	35	Huangchuan, Henan	popY
86	29.71	106.63	60590950	150	54.68	94.2	683020	164587	20.73	Yubei, Chongqing	popY
87	29.64	91.18	38627444	100	25.95	93.3	834392	166958	- 	Lhasa, Tibet	NA
