Population,Town,Latitude,Longitude,Altitude,No. of collected plants,No. of pooled plants
AMBR-A,Ambres,43.7332,1.8239,136,17,16
ANGE-A,Saint Angel. Salvagnac,43.912,1.6566,169,17,16
ANGE-B,Saint Angel. Salvagnac,43.9121,1.6569,168,17,16
AULO-A,Aulon,43.1906,0.8158,339,17,15
AURE-B,Aureville,43.478,1.4522,197,17,16
AUZE-A,Auzeville,43.5278,1.4916,200,17,16
AXLE-A,Axles Thermes,42.7242,1.834,734,17,10
AXLE-B,les Thermes,42.7246,1.8335,733,17,16
BACC-B,Baccarets (Cintegabelle),43.3122,1.5152,201,17,16
BACC-C,Baccarets (Cintegabelle),43.3119,1.5155,201,8,8
BACC-D,Baccarets (Cintegabelle),43.3119,1.5156,201,9,8
BACC-E,Baccarets (Cintegabelle),43.3119,1.5157,201,8,8
BACC-F,Baccarets (Cintegabelle),43.3119,1.5155,201,9,8
BAGNB-A,Bagnères de Bigore,43.0757,0.1518,532,17,16
BAGNB-B,Bagnères de Bigore,43.0765,0.1515,530,17,16
BANI-A,Banios,43.0429,0.2347,488,5,5
BANI-B,Banios,43.0436,0.2343,487,17,16
BANI-C,Banios,43.0436,0.2343,487,17,16
BARA-B,Baraqueville,44.2697,2.4263,756,17,16
BARA-C,Baraqueville,44.2708,2.4276,756,17,16
BARC-A,Barcugnan,43.362,0.3877,218,17,16
BARR-A,Barry le Cas (Caylus),44.2024,1.7675,174,17,14
BAZI-A,Baziège,43.4536,1.6207,166,17,16
BELC-A,Belcastel,44.3875,2.3361,415,17,16
BELC-B,Belcastel,44.3875,2.3368,412,17,16
BELC-C,Belcastel,44.3892,2.3366,453,17,15
BELL-A,Belleserre,43.7903,1.1065,229,17,16
BERNA-A,Bernac-dessus,43.1622,0.1114,394,17,16
BESS-A,Bessuéjouls,44.5264,2.7301,352,17,16
BOULO-A,Boulogne-sur-Gesse,43.2891,0.6398,339,17,16
BROU-A,Brousse-le-château,43.9993,2.6217,281,17,16
BROU-B,Brousse-le-château,44.0331,2.6387,678,17,14
BROU-C,Brousse-le-château,44.0333,2.6387,678,17,16
BULA-A,Bulan,43.0398,0.2773,491,17,16
BULE-B,Buleix (Soulan),42.9106,1.2481,525,17,12
CAMA-C,Camarés,43.8249,2.8817,397,17,16
CAMA-D,Camarés,43.8237,2.881,393,17,15
CAMA-E,Camarés,43.8249,2.8817,397,17,16
CAPE-A,Lacappelle-Ségalar,44.1085,1.9902,322,17,16
CARL-A,Carla-bayle,43.1511,1.3923,385,17,16
CASS-A,Cassagne-Begontes,44.1765,2.5182,616,17,16
CAST-A,Castelginset,43.6985,1.4279,126,17,16
CASTI-A,Castillon en Cousserans,42.9205,1.0341,574,17,16
CAZA-B,Cazaux-Fréchet,42.8315,0.4201,1140,17,16
CEPE-A,Cepet,43.7552,1.436,125,17,16
CERN-A,Saint-Rome-de-Cemnon,44.0119,2.9665,406,17,15
CERN-B,Saint-Rome-de-Cemnon,44.0147,2.9679,407,17,16
CHEI-A,Chein-dessus,43.0137,0.8671,603,17,16
CIER-A,Cier sur Luchon,42.8533,0.602,594,17,16
CIER-B,Cier de Luchon,42.86,0.6004,667,17,16
CIER-C,Cier de Luchon,42.8602,0.6011,656,17,16
CINT-A,Cintegabelle,43.3055,1.5204,204,17,16
CINT-B,Cintegabelle,43.3056,1.5207,204,17,16
CLAR-A,Saint Clar-de-Rivière,43.4648,1.219,218,17,16
CLAR-B,Saint Clar-de-Rivière,43.4653,1.2186,218,17,16
CLAR-C,Saint Clar-de-Rivière,43.4641,1.218,218,17,16
COLO-A,Colombiés,44.3469,2.3402,670,17,16
COLO-B,Colombiès,44.3477,2.3397,664,17,16
COLO-C,Colombiès,44.3481,2.3397,664,17,16
COMT-A,Villecomtal,44.5407,2.6022,558,17,16
CRAN-A,Cransac (Aubin),44.5298,2.2605,318,17,13
DAMI-A,Damiatte,43.6545,1.9776,143,8,8
DAMI-B,Damiatte,43.6545,1.9776,143,13,12
DAMI-C,Damiatte,43.6545,1.9776,143,13,12
DECA-A,Châteaude Cas (Espinas),44.1999,1.7719,234,17,16
DIEU-A,Ville-Dieu-du-temple,44.0598,1.221,91,17,14
ESPE-B,Esperausses,43.6933,2.5346,573,17,16
FAYA-A,Fayet,43.8021,2.9517,457,17,16
FERR-A,Ferrières,43.6577,2.4437,541,17,16
GAIL-A,Gaillac,43.9089,1.9006,144,17,16
GAIL-B,Gaillac,43.909,1.9011,144,17,16
GREZ-A,Grézian,42.8769,0.3497,740,17,16
JACO-A,Jacoy (Boussenac),42.9058,1.4065,990,17,10
JACO-C,Jacoy (Boussenac),42.9058,1.4065,990,17,16
JULI-A,Saint Julien de Malmont (St Cyprien de Dourdou),44.5226,2.3635,407,17,16
JUZE-A,Juzes,43.4488,1.7905,235,17,16
JUZET-A,Juzet d'izaut,42.9777,0.7564,571,17,16
JUZET-B,Juzet d'Izaut,42.9774,0.7555,576,17,16
JUZET-C,Juzet d'Izaut,42.9774,0.7555,576,17,16
LABA-A,Labarthe-sur-Lèze,43.4516,1.4005,165,17,16
LABA-B,Labarthe-sur-Lèze,43.4509,1.4012,165,17,16
LABA-C,Labarthe-sur-Lèze,43.4515,1.3994,165,17,16
LABA-D,Labarthe-sur-Lèze,43.458,1.3811,172,17,16
LABAS-A,Labastidede Sérou,43.0084,1.42,397,17,16
LABAS-B,Labastidede Sérou,43.0087,1.4201,396,17,16
LABR-A,Labruguière,43.5312,2.2626,206,17,16
LACR-A,Lacraste (Montgauch),42.9999,1.0757,497,17,16
LACR-C,Lacraste (Montgauch),43.0002,1.0756,493,17,16
LAGR-A,Lagraulhet St Nicolas,43.7953,1.0738,264,17,16
LAMA-A,Lamasquère,43.4874,1.2436,182,17,16
LAMA-B,Lamasquère,43.4797,1.2416,182,17,16
LANT-B,Lanta,43.5649,1.6524,246,17,16
LANT-C,Lanta,43.5648,1.652,246,13,12
LANT-D,Lanta,43.5648,1.652,246,13,12
LAUZ-A,Lauzerte,44.2561,1.1405,176,17,15
LECT-A,Lectoure,43.9117,0.6297,85,17,16
LECT-B,Lectoure,43.9117,0.6297,85,17,16
LESP-A,Lespujols,43.0942,1.72,290,17,16
LOUB-A,Loubens-Lauragais,43.5743,1.786,220,13,12
LOUB-B,Loubens-Lauragais,43.5746,1.7857,217,12,11
LUNA-A,Lunax,43.3397,0.6898,283,17,16
LUZE-A,Luzenac (Garanou),42.7647,1.753,584,17,16
LUZE-B,Luzenac (Garanou),42.7644,1.7536,584,17,16
LUZE-D,Luzenac (Garanou),42.7644,1.7536,584,17,16
LUZE-E,Luzenac (Garanou),42.7647,1.753,584,17,16
MARS-A,Glaciane (Marsans),43.6625,0.7183,196,17,16
MARS-B,Glaciane (Marsans),43.6625,0.7183,196,17,16
MART-A,Martres Tolosane,43.2021,1.011,266,17,16
MASS-A,Masseube,43.4375,0.5793,204,17,16
MAZA-A,Mazamet,43.4978,2.3754,242,17,16
MEDA-A,Saint Medard,43.4905,0.4614,180,17,16
MERE-A,Merens-les-Vals,42.6566,1.8362,1080,17,16
MERE-B,Merens-les-Vals,42.6565,1.8362,1080,17,16
MERV-A,Merville,43.7204,1.2968,156,17,16
MERV-B,Merville,43.7251,1.2476,123,17,16
MONB-A,Monblanc,43.4653,0.9863,231,17,16
MONE-A,Monestiés,44.1154,2.0947,405,17,16
MONF-A,Monferran-Savès,43.6163,0.9724,209,17,16
MONT-A,Montans,43.8522,1.8743,156,17,16
MONT-B,Montans,43.8527,1.8735,156,17,16
MONTB-A,Montbrunbocage,43.1305,1.2699,281,17,16
MONTG-B,Montgaillard,43.1273,0.1107,437,17,16
MONTG-D,Montgaillard,43.1277,0.1106,437,17,16
MONTI-A,Montiés,43.3894,0.6728,313,17,16
MONTI-B,Montiés,43.3839,0.6726,313,17,16
MONTI-D,Montiés,43.3839,0.6726,313,17,16
MONTM-A,Montmajou (Cier de Luchon),42.8616,0.5959,792,17,16
MONTM-B,Montmajou (Cier de Luchon),42.8612,0.5969,774,17,16
MOUL-A,Moularés,44.0898,2.2961,428,17,15
NAUV-A,Nauviale,44.5208,2.4274,259,17,16
NAUV-B,Nauviale,44.5204,2.4271,257,17,16
NAUV-C,Nauviale,44.5204,2.4272,259,17,16
NAYR-A,Le Nayrac (Cassagnes-Bégontes,44.1614,2.5447,631,17,16
NAZA-A,Saint-Pierre-de-Najac (Miramont de Quercy),44.2203,1.065,93,17,16
PAMP-A,Pampelonne,44.1249,2.2555,317,17,16
PAMP-B,Pampelonne,44.1249,2.2552,317,17,16
PANA-C,Villefrance de Panat,44.0789,2.7111,767,17,16
PASD-B,Pas du loup (Camarès),43.8118,2.8717,603,17,16
PREI-A,Preignan,43.7179,0.6233,120,17,16
PUYM-B,Puymaurin,43.3729,0.7657,278,17,16
RADE-A,Sainte Radegonde,44.3452,2.6208,622,17,11
RAYR-A,Rayret (Cassagne-Begontes),44.196,2.4932,555,17,16
RAYR-B,Rayret (Cassagne-Begontes),44.196,2.4931,555,17,16
REAL-A,Réalmont,43.8317,2.2016,239,17,16
ROME-A,Saint-Rome-du-tar,44.0416,2.9096,446,17,16
ROQU-B,Roquecourbe,43.6679,2.2902,261,17,16
SALE-A,Saleich,43.025,0.966,413,17,16
SALV-A,Saint-Salvy-de-la-Balme,43.6026,2.3634,473,17,15
SAMA-A,Samatan,43.4943,0.9239,179,17,16
SAUB-A,Saubens,43.4649,1.3651,164,17,16
SAUB-B,Saubens,43.4741,1.3642,164,17,16
SAUB-C,Saubens,43.4756,1.3676,164,17,16
SAUR-A,Saurat,42.8898,1.4852,1023,17,16
SEIS-A,Seissan,43.4873,0.5888,193,17,16
SIMO-A,Simorre,43.4494,0.7346,204,17,16
SORE-A,Sorèze,43.4526,2.0725,293,17,16
TARN-C,Villemur-sur-Tam,43.8533,1.502,99,17,16
THOM-A,Saint Thomas,43.514,1.0829,322,17,16
VALE-A,Valence d' Albiegeois,44.0223,2.4034,459,17,15
VICT-B,Saint Victor et Melvieu,44.0522,2.834,629,17,16
VICT-C,Saint Victor et Melvieu,44.0522,2.834,629,17,16
VIEL-A,Vielmur sur Agout,43.6238,2.0896,155,17,16
VILLA-A,Villate,43.4582,1.381,169,17,16
VILLE-A,Villenouvelle,43.4398,1.671,188,17,16
VILLE-B,Villenouvelle,43.4403,1.6696,187,17,16
VILLE-C,Villenouvelle,43.44,1.6701,188,17,16
VILLE-D,Villenouvelle,43.4397,1.6707,188,17,16
VILLEM-A,Villembits,43.2738,0.3212,326,17,16
