Population,Town,Latitude Longitude,Altitude,No. of collected plants 1,No. of pooled plants2
CHEI-A,Chein-dessus,43.0137 0.8671,603,17,16
CIER-A,Cier sur Luchon,42.8533 0.6020,594,17,16
CIER-B,Cier de Luchon,42.8600 0.6004,667,17,16
CIER-C,Cier de Luchon,42.8602 0.6011,656,17,16
CINT-A,Cintegabelle,43.3055 1.5204,204,17,16
CINT-B,Cintegabelle,43.3056 1.5207,204,17,16
CLAR-A,Saint Clar-de-Rivière,43.4648 1.2190,218,17,16
CLAR-B,Saint Clar-de-Rivière,43.4653 1.2186,218,17,16
CLAR-C,Saint Clar-de-Rivière,43.4641 1.2180,218,17,16
COLO-A,Colombiés,44.3469 2.3402,670,17,16
COLO-B,Colombiès,44.3477 2.3397,664,17,16
COLO-C,Colombiès,44.3481 2.3397,664,17,16
COMT-A,Villecomtal,44.5407 2.6022,558,17,16
CRAN-A,Cransac (Aubin),44.5298 2.2605,318,17,13
DAMI-A,Damiatte,43.6545 1.9776,143,8,8
DAMI-B,Damiatte,43.6545 1.9776,143,13,12
DAMI-C,Damiatte,43.6545 1.9776,143,13,12
DECA-A,Châteaude Cas (Espinas),44.1999 1.7719,234,17,16
DIEU-A,Ville-Dieu-du-temple,44.0598 1.2210,91,17,14
ESPE-B,Esperausses,43.6933 2.5346,573,17,16
FAYA-A,Fayet,43.8021 2.9517,457,17,16
FERR-A,Ferrières,43.6577 2.4437,541,17,16
GAIL-A,Gaillac,43.9089 1.9006,144,17,16
GAIL-B,Gaillac,43.9090 1.9011,144,17,16
GREZ-A,Grézian,42.8769 0.3497,740,17,16
JACO-A,Jacoy (Boussenac),42.9058 1.4065,990,17,10
JACO-C,Jacoy (Boussenac),42.9058 1.4065,990,17,16
JULI-A,Saint Julien de Malmont (St,44.5226 2.3635,407,17,16
,Cyprien de Dourdou),,,,
JUZE-A,Juzes,43.4488 1.7905,235,17,16
JUZET-A,Juzet d'izaut,42.9777 0.7564,571,17,16
JUZET-B,Juzet d'Izaut,42.9774 0.7555,576,17,16
JUZET-C,Juzet d'Izaut,42.9774 0.7555,576,17,16
LABA-A,Labarthe-sur-Lèze,43.4516 1.4005,165,17,16
LABA-B,Labarthe-sur-Lèze,43.4509 1.4012,165,17,16
LABA-C,Labarthe-sur-Lèze,43.4515 1.3994,165,17,16
LABA-D,Labarthe-sur-Lèze,43.4580 1.3811,172,17,16
LABAS-A,Labastidede Sérou,43.0084 1.4200,397,17,16
LABAS-B,Labastidede Sérou,43.0087 1.4201,396,17,16
LABR-A,Labruguière,43.5312 2.2626,206,17,16
LACR-A,Lacraste (Montgauch),42.9999 1.0757,497,17,16
LACR-C,Lacraste (Montgauch),43.0002 1.0756,493,17,16
LAGR-A,Lagraulhet St Nicolas,43.7953 1.0738,264,17,16
LAMA-A,Lamasquère,43.4874 1.2436,182,17,16
LAMA-B,Lamasquère,43.4797 1.2416,182,17,16
LANT-B,Lanta,43.5649 1.6524,246,17,16
LANT-C,Lanta,43.5648 1.6520,246,13,12