"individual"	"Latitude"	"Longitude"	"Population"	"country"
"ind_14INRCTx12"	38.226067	-86.247712	"INRC"	"USA"
"ind_14INRCTxx4"	38.226067	-86.247712	"INRC"	"USA"
"ind_14NJSCx70"	39.705629	-74.776858	"NJSC"	"USA"
"ind_14OHMLNP102"	41.64991	-84.76031	"OHML"	"USA"
"ind_14OHMLNP105"	41.64991	-84.76031	"OHML"	"USA"
"ind_14OHMLNP108"	41.64991	-84.76031	"OHML"	"USA"
"ind_14OHMLNPx11"	41.64991	-84.76031	"OHML"	"USA"
"ind_14OHMLNPx20"	41.64991	-84.76031	"OHML"	"USA"
"ind_14OHMLNPx28"	41.64991	-84.76031	"OHML"	"USA"
"ind_14OHMLNPx43"	41.64991	-84.76031	"OHML"	"USA"
"ind_14OHMLNPx44"	41.64991	-84.76031	"OHML"	"USA"
"ind_15INRCT05"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT17"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT26"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT30"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT35"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT38"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT42_HPA"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT46"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT47"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT52"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT53"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT54"	38.226067	-86.247712	"INRC"	"USA"
"ind_15INRCT58"	38.226067	-86.247712	"INRC"	"USA"
"ind_15MDPCB14"	38.940052	-76.942857	"MDPC"	"USA"
"ind_15NJSC03"	39.705629	-74.776858	"NJSC"	"USA"
"ind_15NJSC22"	39.705629	-74.776858	"NJSC"	"USA"
"ind_15NJSC34"	39.705629	-74.776858	"NJSC"	"USA"
"ind_15NJSC40"	39.705629	-74.776858	"NJSC"	"USA"
"ind_15NJSC52"	39.705629	-74.776858	"NJSC"	"USA"
"ind_15NJSC71"	39.705629	-74.776858	"NJSC"	"USA"
"ind_15NJSC80"	39.705629	-74.776858	"NJSC"	"USA"
"ind_15NJSC87"	39.705629	-74.776858	"NJSC"	"USA"
"ind_15OHMLNP13_2"	41.64991	-84.76031	"OHML"	"USA"
"ind_15OHMLNP26"	41.64991	-84.76031	"OHML"	"USA"
"ind_15OHMLNP29"	41.64991	-84.76031	"OHML"	"USA"
"ind_15OHMLNP41"	41.64991	-84.76031	"OHML"	"USA"
"ind_15OHMLNP49"	41.64991	-84.76031	"OHML"	"USA"
"ind_15OHMLNP81"	41.64991	-84.76031	"OHML"	"USA"
"ind_16CTDERBY003"	41.3302	-73.078209	"CTDE"	"USA"
"ind_16CTDERBY039"	41.3302	-73.078209	"CTDE"	"USA"
"ind_16CTPNR002"	41.76705	-72.57427	"CTPN"	"USA"
"ind_16CTPNR006"	41.76705	-72.57427	"CTPN"	"USA"
"ind_16CTPNR023"	41.76705	-72.57427	"CTPN"	"USA"
"ind_16CTPNR025"	41.76705	-72.57427	"CTPN"	"USA"
"ind_16CTPNR026"	41.76705	-72.57427	"CTPN"	"USA"
"ind_16CTPNR050"	41.76705	-72.57427	"CTPN"	"USA"
"ind_16CTPNR062"	41.76705	-72.57427	"CTPN"	"USA"
"ind_16CTRP004"	41.95186	-71.957	"CTRP"	"USA"
"ind_16CTRP008"	41.95186	-71.957	"CTRP"	"USA"
"ind_16CTRP009"	41.95186	-71.957	"CTRP"	"USA"
"ind_16CTRP013"	41.95186	-71.957	"CTRP"	"USA"
"ind_16CTRP015"	41.95186	-71.957	"CTRP"	"USA"
"ind_16CTRP016"	41.95186	-71.957	"CTRP"	"USA"
"ind_16CTRP017"	41.95186	-71.957	"CTRP"	"USA"
"ind_16CTRP018"	41.95186	-71.957	"CTRP"	"USA"
"ind_16CTRP023"	41.95186	-71.957	"CTRP"	"USA"
"ind_16INRCT001"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT002"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT005"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT009"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT015"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT021"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT022"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT028"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT041"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT045"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT046"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT058"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT067"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT070"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT072"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRCT073"	38.226067	-86.247712	"INRC"	"USA"
"ind_16INRO001"	41.052184	-86.214886	"INRO"	"USA"
"ind_16INWIER030"	41.022	-86.58317	"INWI"	"USA"
"ind_16INWIER038"	41.022	-86.58317	"INWI"	"USA"
"ind_16INWIER051"	41.022	-86.58317	"INWI"	"USA"
"ind_16INWIER059"	41.022	-86.58317	"INWI"	"USA"
"ind_16INWIER07"	41.022	-86.58317	"INWI"	"USA"
"ind_16MAAA001"	42.29906	-71.12392	"MAAA"	"USA"
"ind_16MAAA002"	42.29906	-71.12392	"MAAA"	"USA"
"ind_16MAMSSF012"	41.832005	-70.685724	"MAMS"	"USA"
"ind_16MAUR001"	42.20144	-71.17008	"MAUR"	"USA"
"ind_16MDPCB001"	38.940052	-76.942857	"MDPC"	"USA"
"ind_16MDPCB003"	38.940052	-76.942857	"MDPC"	"USA"
"ind_16MDPCB027"	38.940052	-76.942857	"MDPC"	"USA"
"ind_16MDPCB028"	38.940052	-76.942857	"MDPC"	"USA"
"ind_16MDPCB034"	38.940052	-76.942857	"MDPC"	"USA"
"ind_16MDPCB044"	38.940052	-76.942857	"MDPC"	"USA"
"ind_16MDPCB045"	38.940052	-76.942857	"MDPC"	"USA"
"ind_16MDPCB046"	38.940052	-76.942857	"MDPC"	"USA"
"ind_16MDPCB048"	38.940052	-76.942857	"MDPC"	"USA"
"ind_16MDPCB052"	38.940052	-76.942857	"MDPC"	"USA"
"ind_16MDPCB053"	38.940052	-76.942857	"MDPC"	"USA"
"ind_16MDSR004"	39.020462	-76.829483	"MDSR"	"USA"
"ind_16MDSR014"	39.020462	-76.829483	"MDSR"	"USA"
"ind_16MDSR017"	39.020462	-76.829483	"MDSR"	"USA"
"ind_16MDSR027"	39.020462	-76.829483	"MDSR"	"USA"
"ind_16MDTCR001"	38.731575	-76.713425	"MDTC"	"USA"
"ind_16MDTCR002"	38.731575	-76.713425	"MDTC"	"USA"
"ind_16MDTCR006"	38.731575	-76.713425	"MDTC"	"USA"
"ind_16MDTCR007"	38.731575	-76.713425	"MDTC"	"USA"
"ind_16MDTCR008"	38.731575	-76.713425	"MDTC"	"USA"
"ind_16MDTCR010"	38.731575	-76.713425	"MDTC"	"USA"
"ind_16MDTCR012"	38.731575	-76.713425	"MDTC"	"USA"
"ind_16MIKOSP001"	42.905396	-85.632672	"MIKO"	"USA"
"ind_16MIKOSP004"	42.905396	-85.632672	"MIKO"	"USA"
"ind_16MIKOSP007"	42.905396	-85.632672	"MIKO"	"USA"
"ind_16MIKOSP011"	42.905396	-85.632672	"MIKO"	"USA"
"ind_16MIKOSP012"	42.905396	-85.632672	"MIKO"	"USA"
"ind_16MIKOSP014"	42.905396	-85.632672	"MIKO"	"USA"
"ind_16MIKOSP016"	42.905396	-85.632672	"MIKO"	"USA"
"ind_16MIMBT004"	43.222694	-86.279167	"MIMB"	"USA"
"ind_16MIMBT005"	43.222694	-86.279167	"MIMB"	"USA"
"ind_16MIMBT008"	43.222694	-86.279167	"MIMB"	"USA"
"ind_16MIMBT011"	43.222694	-86.279167	"MIMB"	"USA"
"ind_16MIMSP004"	43.25041	-86.33221	"MIMU"	"USA"
"ind_16MIMSP009"	43.25041	-86.33221	"MIMU"	"USA"
"ind_16MIMSP027"	43.25041	-86.33221	"MIMU"	"USA"
"ind_16MIMSP033"	43.25041	-86.33221	"MIMU"	"USA"
"ind_16MIMSUK001"	42.4	-85.373	"MIKE"	"USA"
"ind_16MIMSUK004"	42.4	-85.373	"MIKE"	"USA"
"ind_16MIMSUK005"	42.4	-85.373	"MIKE"	"USA"
"ind_16MIMSUK009"	42.4	-85.373	"MIKE"	"USA"
"ind_16MIMSUK010"	42.4	-85.373	"MIKE"	"USA"
"ind_16MIMSUK025"	42.4	-85.373	"MIKE"	"USA"
"ind_16MIMSUK030"	42.4	-85.373	"MIKE"	"USA"
"ind_16MIMSUK046"	42.4	-85.373	"MIKE"	"USA"
"ind_16MISJCJT001"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT051"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT052"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT053"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT054"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT060"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT066"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT068"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT078"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT082"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT084"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT088"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16MISJCJT090"	42.14462	-84.42283	"MISJ"	"USA"
"ind_16NJDCF003"	39.711394	-74.726319	"NJDC"	"USA"
"ind_16NJDCF004"	39.711394	-74.726319	"NJDC"	"USA"
"ind_16NJDCF007"	39.711394	-74.726319	"NJDC"	"USA"
"ind_16NJSC001"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC002"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC003"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC007"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC010"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC011"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC013"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC016"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC017"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC018"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC019"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC020"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC023"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC024"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC026"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC029"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC030"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC031"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC032"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC035"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC037"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC041"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC043"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC044"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC045"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC048"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC052"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC055"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC058"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC065"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC067"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC071"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC074"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC075"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC079"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC080"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC083"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC084"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC085"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC086"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC089"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC090"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC091"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16NJSC093"	39.705629	-74.776858	"NJSC"	"USA"
"ind_16OHLAOBT015"	40	-83.02	"OHOS"	"USA"
"ind_16OHLAOBT038"	40	-83.02	"OHOS"	"USA"
"ind_16OHMLNP002"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP004"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP007"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP011"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP014"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP020"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP029"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP042"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP043"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP047"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP052"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP054"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP063"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP069"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP076"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP078"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP079"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP086"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP091"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP092"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHMLNP094"	41.64991	-84.76031	"OHML"	"USA"
"ind_16OHPR003"	41.29522	-83.45741	"OHPR"	"USA"
"ind_16OHPR017"	41.29522	-83.45741	"OHPR"	"USA"
"ind_16OHPR035"	41.29522	-83.45741	"OHPR"	"USA"
"ind_16OHPR037"	41.29522	-83.45741	"OHPR"	"USA"
"ind_16OHPR052"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_14INRCT01"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_14INRCT05"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_14INRCT07"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_14INRCT19"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_14NJSC22"	39.705629	-74.776858	"NJSC"	"USA"
"ind_G1_14OHMLNP09"	41.64991	-84.76031	"OHML"	"USA"
"ind_G1_14OHMLNP40"	41.64991	-84.76031	"OHML"	"USA"
"ind_G1_15INRCT03_1"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT09_1"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT10_1"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT22_2"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT34_1"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT35_2"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT38_1"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT41_1"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT49_1"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT60_1"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT61_2"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT62_1"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCT69_1"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15INRCTM7_1"	38.226067	-86.247712	"INRC"	"USA"
"ind_G1_15MDPCB41_1"	38.940052	-76.942857	"MDPC"	"USA"
"ind_G1_15MDPCB75_1"	38.940052	-76.942857	"MDPC"	"USA"
"ind_G1_15OHMLNP11_1"	41.64991	-84.76031	"OHML"	"USA"
"ind_G1_15OHMLNP24_1"	41.64991	-84.76031	"OHML"	"USA"
"ind_G1_15OHMLNP26_2"	41.64991	-84.76031	"OHML"	"USA"
"ind_G1_15OHMLNP27_1"	41.64991	-84.76031	"OHML"	"USA"
"ind_G1_15OHMLNP41_1"	41.64991	-84.76031	"OHML"	"USA"
"ind_G1_15OHMLNP46_2"	41.64991	-84.76031	"OHML"	"USA"
"ind_G1_15OHMLNPM1_1"	41.64991	-84.76031	"OHML"	"USA"
"ind_G1_OH14PR02"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR03"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR05"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR08"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR12"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR16"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR20"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR21"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR22"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR23"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR27"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR32"	41.29522	-83.45741	"OHPR"	"USA"
"ind_G1_OH14PR36"	41.29522	-83.45741	"OHPR"	"USA"
"ind_INTHRR108"	39.449372	-87.365988	"INTH"	"USA"
"ind_INTHRR110"	39.449372	-87.365988	"INTH"	"USA"
"ind_INTHRR54"	39.449372	-87.365988	"INTH"	"USA"
"ind_MAAA16"	42.29906	-71.12392	"MAAA"	"USA"
"ind_MAAA41"	42.29906	-71.12392	"MAAA"	"USA"
"ind_MAAA61"	42.29906	-71.12392	"MAAA"	"USA"
"ind_MDTCR32"	38.731575	-76.713425	"MDTC"	"USA"
"ind_MDTCR42"	38.731575	-76.713425	"MDTC"	"USA"
"ind_NCARS32"	35.669102	-78.492348	"NCAR"	"USA"
"ind_NCARS51"	35.669102	-78.492348	"NCAR"	"USA"
"ind_NCARS9"	35.669102	-78.492348	"NCAR"	"USA"
"ind_NYBG154"	40.86197	-73.87323	"NYBG"	"USA"
"ind_NYBG157"	40.86197	-73.87323	"NYBG"	"USA"
"ind_NYBG169"	40.86197	-73.87323	"NYBG"	"USA"
"ind_OH15PR07"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH15PR30"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH15PR42"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH15PR44"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH15PR49"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH15PR59"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH15PR64"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH15PR66"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH15PR68"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH15PR75"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH15PR76"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH15PR80"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR001"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR005"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR007"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR015"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR019"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR022"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR024"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR027"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR029"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR033"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR039"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR040"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR041"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR047"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR051"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OH16PR054"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OHPR_S1"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OHPR_S41"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OHPR_S42"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OHPR_S47"	41.29522	-83.45741	"OHPR"	"USA"
"ind_OHPR_S48"	41.29522	-83.45741	"OHPR"	"USA"
"ind_R15MISJ12"	42.14462	-84.42283	"MISJ"	"USA"
"ind_R15MISJ25"	42.14462	-84.42283	"MISJ"	"USA"
"ind_R15MISJ56"	42.14462	-84.42283	"MISJ"	"USA"
"ind_R15MISJ59"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S1"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S10"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S11"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S12"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S13"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S14"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S15"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S16"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S18"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S19"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S2"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S20"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S21"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S22"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S23"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S24"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S25"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S26"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S27"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S29"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S3"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S30"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S31"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S32"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S33"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S34"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S35"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S36"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S37"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S38"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S39"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S4"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S40"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S41"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S42"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S43"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S44"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S45"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S46"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S48"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S49"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S5"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S50"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S51"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S52"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S53"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S54"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S55"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S56"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S57"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S58"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S59"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S6"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S7"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S8"	42.14462	-84.42283	"MISJ"	"USA"
"ind_S9"	42.14462	-84.42283	"MISJ"	"USA"
"ind_At394_395"	53.4281083333333	-9.3206		"Ireland"
"ind_At136_140"	52.9114444444444	-9.06594444444445		"Ireland"
"ind_At069"	53.5597222222222	-9.891025		"Ireland"
"ind_At158"	52.9109361111111	-9.08521666666667		"Ireland"
"ind_At339_348"	53.0851805555556	-8.98675		"Ireland"
"ind_At376"	53.9520472222222	-9.31874444444444		"Ireland"
"ind_At319"	53.1286972222222	-8.95505833333333		"Ireland"
"ind_At369"	53.0639805555556	-9.07705833333333		"Ireland"
"ind_At533"	53.1545194444444	-9.08283055555555		"Ireland"
"ind_At370"	53.1285694444444	-8.95554444444444		"Ireland"
"ind_At361"	52.9326972222222	-8.43787777777778		"Ireland"
"ind_At363"	53.1554444444444	-8.99077777777778		"Ireland"
